Date,predicted_mean
2013-01-01,15264.527954705203
2013-02-01,16211.810136689402
2013-03-01,17222.60022726967
2013-04-01,13763.793641398657
2013-05-01,14031.54511944149
2013-06-01,13437.820108514108
2013-07-01,13653.056145431749
2013-08-01,14745.551913829493
2013-09-01,13794.90751224086
2013-10-01,14304.001087308288
2013-11-01,11855.898034298105
2013-12-01,11684.765988190897
2014-01-01,14667.614205701699
2014-02-01,15348.09876159236
2014-03-01,16322.304466325559
2014-04-01,12863.497880454546
2014-05-01,13131.24935849738
2014-06-01,12537.524347569999
2014-07-01,12752.760384487638
2014-08-01,13845.256152885382
2014-09-01,12894.611751296748
2014-10-01,13403.705326364177
2014-11-01,10955.602273353994
2014-12-01,10784.470227246786
2015-01-01,13767.318444757588
2015-02-01,14447.80300064825
2015-03-01,15422.008705381448
2015-04-01,11963.202119510435
2015-05-01,12230.953597553269
2015-06-01,11637.228586625888
2015-07-01,11852.464623543527
2015-08-01,12944.960391941271
2015-09-01,11994.315990352638
2015-10-01,12503.409565420066
2015-11-01,10055.306512409883
2015-12-01,9884.174466302675
2016-01-01,12867.022683813477
2016-02-01,13547.507239704139
2016-03-01,14521.712944437337
2016-04-01,11062.906358566324
2016-05-01,11330.657836609158
2016-06-01,10736.932825681777
2016-07-01,10952.168862599416
2016-08-01,12044.66463099716
2016-09-01,11094.020229408527
2016-10-01,11603.113804475955
2016-11-01,9155.010751465772
2016-12-01,8983.878705358564
2017-01-01,11966.726922869366
2017-02-01,12647.211478760028
2017-03-01,13621.417183493226
2017-04-01,10162.610597622213
2017-05-01,10430.362075665047
2017-06-01,9836.637064737666
2017-07-01,10051.873101655305
2017-08-01,11144.36887005305
2017-09-01,10193.724468464416
2017-10-01,10702.818043531845
2017-11-01,8254.714990521661
2017-12-01,8083.582944414453
